2026/08/12 12:01:03.718269 [INIT] Logger initialized. Logging errors to terminal and file: logs/app.log
2026/08/12 12:01:05.960384 AutoMigrate warning: Error 3780 (HY000): Referencing column 'branch_id' and referenced column 'id' in foreign key constraint 'fk_users_branch' are incompatible.
2026/08/12 12:01:06.825403 Stationery Management System Server starting on port 8091...
2026/08/12 12:01:09.242555 [ERROR] [MAF001] Authorization token required | File: middleware/auth_middleware.go | Func: main.main.JWTAuth.func9 | Time: 2026-08-12T12:01:09+05:30
2026/08/28 10:23:20.446387 [HTTP] 200 |    1.4322038s | 127.0.0.1 | GET /api/v1/dashboard/metrics
2026/08/28 10:23:20.863916 [HTTP] 200 |    373.7107ms | 127.0.0.1 | GET /api/v1/dashboard/metrics
2026/08/28 10:23:21.465628 [HTTP] 200 |    2.4514447s | 127.0.0.1 | GET /api/v1/requests
2026/08/28 10:23:22.483226 [HTTP] 200 |    558.4018ms | 127.0.0.1 | GET /api/v1/requests
2026/08/28 10:24:34.966124 [HTTP] 200 |      5.2678ms | 127.0.0.1 | GET /api/v1/products
2026/08/28 10:24:35.975014 [HTTP] 200 |     36.4989ms | 127.0.0.1 | GET /api/v1/products
2026/08/28 10:24:36.311616 [HTTP] 200 |    364.7917ms | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:24:36.711615 [HTTP] 200 |    104.0878ms | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:24:43.076889 [HTTP] 200 |      2.5375ms | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:24:43.305398 [HTTP] 200 |    332.9033ms | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:24:43.553328 [HTTP] 200 |      6.1305ms | 127.0.0.1 | GET /api/v1/branches
2026/08/28 10:24:44.608557 [HTTP] 200 |    433.1088ms | 127.0.0.1 | GET /api/v1/users
2026/08/28 10:25:16.021362 [ERROR] [HUC001] This mobile number is already associated with another account. Please use a different number. | File: handler/user_handler.go | Func: stationery-management/internal/handler.(*UserHandler).CreateUser | Time: 2026-08-28T10:25:16+05:30
2026/08/28 10:25:16.021362 [HTTP] 400 |    153.9703ms | 127.0.0.1 | POST /api/v1/users
